Name,Cause,Order,Sign.,Unique
XLK,TED,5,**,
XLF,TED,5,.,
MSFT,VIX,6,.,
XLK,VIX,1,.,
BAC,AAPL,1,*,
CITI,AAPL,1,.,
XOM,AAPL,1,*,
SPY,AAPL,2,.,
XLK,AAPL,1,.,
AAPL,AIG,2,*,
BAC,AIG,2,*,
JNJ,AIG,1,*,
XOM,AIG,1,**,
TED,AIG,1,.,
VIX,AIG,2,.,
AAPL,BAC,2,**,
SPY,BAC,1,.,
XLF,BAC,3,.,
TED,BAC,1,.,
AIG,AAPL,2,.,
WFC,CITI,5,.,
SPY,CITI,4,*,
XLK,CITI,1,*,
XLF,CITI,5,*,
TED,CITI,1,*,
AIG,JNJ,1,*,
BAC,JNJ,1,*,
SPY,JNJ,3,.,
XLK,JNJ,2,.,
XLF,JNJ,1,*,
VIX,JNJ,2,*,
WFC,JPM,2,.,
SPY,JPM,4,*,
TED,JPM,4,.,
AAPL,MSFT,4,.,
AAPL,WFC,2,*,
AIG,WFC,2,*,
XOM,WFC,4,.,
XLK,WFC,2,.,
XLF,WFC,2,*,
AAPL,XOM,1,*,
CITI,XOM,3,.,
JPM,XOM,1,*,
SPY,XOM,1,**,
BAC,XLK,3,*,
WFC,XLK,2,.,
XLF,XLK,3,*,
AAPL,XLF,2,*,
BAC,XLF,4,**,
XOM,XLF,3,*,
SPY,XLF,1,.,
XLK,XLF,3,*,
TED,XLF,1,**,
XLK,TED,5,**,
XLF,TED,5,.,
VIX,TED,2,**,
MSFT,TED,6,.,
XLK,VIX,1,*,
